Downloaded for distribution	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN 	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	yes	no	no	46	Wailea	NMS	TS	JS		WUL	WUL200508		Ulua Beach	2020-05-08	8:54	2	2	4	2	2					WUL200508	25.1	33.9	6.80	100.0	8.12	1.41	1.77	2.65	1.94	0.328	10			N	9	0	0	parked at shops of Wailea and walked; turbidity (noticed suspended matter)
yes	yes	yes	no	no	46	Wailea	NMS	TS	JS		WPL	WPL200508		Palauea Beach	2020-05-08	9:30	2	2	4	2	2					WPL200508	25.4	34.4	6.82	100.7	8.17	2.34	2.47	2.81	2.54	0.096	0			N	2	3	0	
yes	yes	yes	no	no	46	Wailea	NMS	TS	JS		WPO	WPO200508		Poolenalena Beach	2020-05-08	9:42	2	2	4	2	2					WPO200508	25.6	33.9	6.92	102.5	8.18	0.58	0.50	0.48	0.52	0.102	0			N	1	0	0	
yes	yes	yes	no	no	47	Wailea	NMS	TS	JS		WKD	WKD200612		Kilohana Dr	2020-06-12	8:05	1	1	3	1	1					WKD200612	26	34.7	6.70	99.9	8.15	1.45	1.19	1.31	1.32	0.099				N	4	3	0	
yes	yes	yes	no	no	47	Wailea	NMS	TS	JS		WKB	WKB200612		Keawakapu Beach	2020-06-12	8:30	1	1	3	1	1					WKB200612	26.4	34.4	6.71	101.0	8.16	0.86	0.60	0.88	0.78	0.200				N	0	4	4	4 people in 1 tent; 4 poles by campers
yes	yes	yes	no	no	47	Wailea	NMS	TS	JS		WUL	WUL200612		Ulua Beach	2020-06-12	8:55	1	1	3	1	1					WUL200612	26.4	34.6	6.74	101.3	8.16	0.76	0.78	0.69	0.74	0.064				N	8	5	0	dog in water; scuba divers; babies in water
yes	yes	yes	no	no	47	Wailea	NMS	TS	JS		WPL	WPL200612		Palauea Beach	2020-06-12	9:15	1	1	3	1	1					WPL200612	26.9	34.7	6.69	101.4	8.17	1.42	1.85	1.70	1.66	0.132				N	2	4	0	
yes	yes	yes	no	no	47	Wailea	NMS	TS	JS		WPO	WPO200612		Poolenalena Beach	2020-06-12	9:35	1	1	3	1	1					WPO200612	27.1	34.9	6.64	101.2	8.17	1.05	1.02	1.13	1.07	0.053				N	13	2	30	9 tents; 5 fishing poles near sample site
yes	yes	yes	no	no	48	Wailea	NMS	TS	JS		WKD	WKD200703		Kilohana Dr	2020-07-03	8:10	2	2	4	2	2					WKD200703	26.5	34.9	6.71	101.4	8.14	1.98	1.79	1.62	1.80	0.100				N	4	11	0	dog on beach
yes	yes	yes	no	no	48	Wailea	NMS	TS	JS		WKB	WKB200703		Keawakapu Beach	2020-07-03	8:30	2	2	4	2	2					WKB200703	27	34.9	6.70	102.2	8.14	0.68	0.67	0.63	0.66	0.040				N	0	15	0	
yes	yes	yes	no	no	48	Wailea	NMS	TS	JS		WUL	WUL200703		Ulua Beach	2020-07-03	8:55	2	2	4	2	2					WUL200703	27.1	34.6	6.63	101.4	8.10	2.50	2.49	2.07	2.35	0.104				N	2	12	0	
yes	yes	yes	no	no	48	Wailea	NMS	TS	JS		WPL	WPL200703		Palauea Beach	2020-07-03	9:20	2	2	4	2	2					WPL200703	27.2	34.7	6.76	103.4	8.17	2.08	2.49	2.93	2.50	0.170				N	7	30	30	5 tents/10 fishing poles
yes	yes	yes	no	no	48	Wailea	NMS	TS	JS		WPO	WPO200703		Poolenalena Beach	2020-07-03	9:41	2	2	4	2	2					WPO200703	27.4	34.9	6.68	102.7	8.17	1.00	1.36	1.15	1.17	0.155				N	17	65	65	15 tents/14 fishing poles
yes	yes	yes	no	no	49	Wailea	NMS	TS	AW	AA	WKD	WKD200724		Kilohana Dr	2020-07-24	8:06	1	1	3	1	1					WKD200724	27.2	34.9	6.30	96.2	8.14	0.79	0.76	0.77	0.77	0.020				N	2	9	0	1 dog on beach
yes	yes	yes	no	no	49	Wailea	NMS	TS	AW	AA	WKB	WKB200724		Keawakapu Beach	2020-07-24	8:25	1	1	3	1	1					WKB200724	27.2	35	6.33	96.8	8.14	0.77	0.87	0.87	0.84	0.069				N	0	2	0	1 dog on beach; there was "XXXX" across turbidity screen
yes	yes	yes	no	no	49	Wailea	NMS	TS	AW	AA	WUL	WUL200724		Ulua Beach	2020-07-24	8:45	1	1	3	1	1					WUL200724	27.2	34.7	6.37	97.1	8.12	1.09	1.23	1.28	1.20	0.082				N	10	0	0	SUP (x2); scuba divers nearby
yes	yes	no	no	no	49	Wailea	NMS	TS	AW	AA	WPL	WPL200724		Palauea Beach	2020-07-24	9:01	1	1	3	1	1					WPL200724	27.6	34.9	6.39	98.0	8.15	0.70	0.73	0.84	0.76	0.097				N	2	3	0	temp difference between salinity and DO probe = 0.3 C
yes	yes	no	no	no	49	Wailea	NMS	TS	AW	AA	WPO	WPO200724		Poolenalena Beach	2020-07-24	9:15	1	1	3	1	1					WPO200724	27.9	34.9	6.41	99.0	8.18	0.53	0.57	0.52	0.54	0.049				N	5	15	10	4 tents; boogie boarders nearby; 3 fishing poles out
