Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+			
yes	yes	yes	no	no	40	Polanui	LLHS	RB	KH		OLP	OLP180606	2072	Launiupoko	2018-06-06	9:25	2	1	3	2	2	23	4	0	Still	OLP180606	26.6	34.3	6.77	102.1	8.12	1.25	1.30	1.35	1.30	0.038		1	1		12	3	0			
yes	yes	yes	no	no	40	Polanui	LLHS	RB	KH		OSF	OSF180606	2027	Olowalu Pier	2018-06-06	9:56	2	1	3	2	2	23	4	0	Still	OSF180606	26.4	34.2	7.21	108.1	8.08	2.14	2.20	2.04	2.13	0.038		1	2		2	2	0			
yes	yes	yes	no	no	41	Polanui	LLHS	RB	KH	MB	PFF	PFF180627	2022	505 Front St	2018-06-27	8:10	1	3	4	1	3	14	0	0	Trades	PFF180627	26.0	34.3	6.31	94.4	8.09	2.31	2.86	2.85	2.67	0.118		0	0	1	0	12	0			
yes	yes	yes	no	no	41	Polanui	LLHS	RB	KH	MB	PLH	PLH180627	2023	Lindsey Hale	2018-06-27	8:31	1	3	4	1	3	14	0	0	Trades	PLH180627	26.1	34.2	6.32	94.6	8.09	1.64	2.12	1.91	1.89	0.127		0	0		4	1	0			
yes	yes	yes	no	no	41	Polanui	LLHS	RB	KH	MB	PLT	PLT180627	2024	Lahaina Town	2018-06-27	8:59	1	3	4	1	3	14	0	0	Trades	PLT180627	26.4	34.6	6.63	101.1	8.10	2.19	2.27	2.31	2.26	0.027		0	0		0	0	0			
yes	yes	yes	no	no	41	Polanui	LLHS	RB	KH	MB	OSF	OSF180627	2027	Olowalu Pier	2018-06-27	9:30	1	3	4	1	3	14	0	0	Trades	OSF180627	26.0	34.6	6.55	98.2	8.11	4.67	4.77	5.66	5.03	0.108		0	0		0	0	0			
yes	yes	yes	no	no	42	Polanui	LLHS	JM	RB	KH	PFF	PFF180718	2022	505 Front St	2018-07-18	8:15	2	1	3	2	2	6	2	0	Trades	PFF180718	27.0	33.6	6.33	95.6	8.08	5.74	6.57	5.96	6.09	0.071		1	0	1	0	0	0			
yes	yes	yes	no	no	42	Polanui	LLHS	JM	RB	KH	PLH	PLH180718	2023	Lindsey Hale	2018-07-18	8:40	2	1	3	2	2	6	2	0	Trades	PLH180718	27.2	33.7	6.18	93.8	8.10	20.00	22.20	20.30	20.83	0.057		0	0		0	3	0			
yes	yes	yes	no	no	42	Polanui	LLHS	JM	RB	KH	PLT	PLT180718	2024	Lahaina Town	2018-07-18	9:00	2	1	3	2	2	6	2	0	Trades	PLT180718	27.4	33.9	6.05	92.3	8.13	14.10	17.80	20.30	17.40	0.179		0	0		1	0	0			
yes	yes	yes	no	no	42	Polanui	LLHS	JM	RB	KH	OSF	OSF180718	2027	Olowalu Pier	2018-07-18	9:35	2	1	3	2	2	6	3	0	Trades	OSF180718	27.3	34.3	6.80	103.7	8.15	2.20	2.93	2.19	2.44	0.174		0	1		0	1	0			
yes	yes	yes	no	no	43	Polanui	LLHS	JM	MB		PFF	PFF180808	2022	505 Front St	2018-08-08	8:30	1	3	5	1	3	27	0	0	Trades	PFF180808	26.5	34.0	6.33	95.8	8.09	1.76	2.11	2.30	2.06	0.133		0	0	1	0	0	0			
yes	yes	yes	no	no	43	Polanui	LLHS	JM	MB		PLH	PLH180808	2023	Lindsey Hale	2018-08-08	8:55	1	3	5	1	3	27	0	0	Trades	PLH180808	26.6	34.3	6.41	97.1	8.10	2.34	2.34	2.12	2.27	0.056		0	0		0	1	0			
yes	yes	yes	no	no	43	Polanui	LLHS	JM	MB		PLT	PLT180808	2024	Lahaina Town	2018-08-08	9:19	1	3	5	1	3	27	0	0	Trades	PLT180808	26.9	34.6	6.56	100.2	8.12	2.15	2.31	2.20	2.22	0.037		0	2		1	1	0			
yes	yes	yes	no	no	43	Polanui	LLHS	JM	MB		OSF	OSF180808	2027	Olowalu Pier	2018-08-08	9:55	1	3	5	1	3	27	0	0	Trades	OSF180808	27.2	34.6	6.92	106.3	8.14	2.14	2.04	2.15	2.11	0.029		0	0		0	0	0			
yes	yes	yes	no	no	44	Polanui	LLHS	JM	KH	JS	PFF	PFF180829	2022	505 Front St	2018-08-29	8:10	2	1	6	2	2	19	0	0	Trades	PFF180829	27.5	32.5	6.10	92.3	8.09	4.06	3.90	4.38	4.11	0.059		0	0	1	0	1	0	Seal nearby		
yes	yes	yes	no	no	44	Polanui	LLHS	JM	KH	JS	PLH	PLH180829	2023	Lindsey Hale	2018-08-29	8:43	2	1	6	2	2	19	0	0	Trades	PLH180829	27.6	33.5	5.87	89.6	8.09	9.50	9.85	11.10	10.15	0.083		0	0		0	1	0	First turbidity reading was low and group took 4 more readings.		
yes	yes	yes	no	no	44	Polanui	LLHS	JM	KH	JS	PLT	PLT180829	2024	Lahaina Town	2018-08-29	9:10	2	1	6	2	2	19	0	0	Trades	PLT180829	27.8	33.6	6.05	92.9	8.11	4.03	3.81	3.90	3.91	0.028		0	0		1	0	0			
yes	yes	yes	no	no	44	Polanui	LLHS	JM	KH	JS	OSF	OSF180829	2027	Olowalu Pier	2018-08-29	9:45	2	1	6	2	2	19	0	0	Trades	OSF180829	27.9	34.0	6.65	102.3	8.16	3.49	3.76	3.31	3.52	0.064		1	5		0	0	0			
yes	yes	yes	no	no	45	Polanui	LLHS	JM	KH	RB	PFF	PFF180919	2022	505 Front St	2018-09-19	8:11	1	3	5	1	3	10	3	0	0	PFF180919	26.9	33.7	6.02	91.2	8.05	5.73	5.08	5.12	5.31	0.069		0	0	1	0	1	0	no rain in last 24 hours		
yes	yes	yes	no	no	45	Polanui	LLHS	JM	KH	RB	PLH	PLH180919	2023	Lindsey Hale	2018-09-19	8:37	1	3	5	1	3	10	3	0	0	PLH180919	27.2	34.4	6.10	93.4	8.06	3.14	2.98	2.80	2.97	0.057		0	2		0	1	0	no rain in last 24 hours		
yes	yes	yes	no	no	45	Polanui	LLHS	JM	KH	RB	PLT	PLT180919	2024	Lahaina Town	2018-09-19	8:55	1	3	5	1	3	10	3	0	0	PLT180919	27.3	31.4	6.05	92.6	8.07	3.70	3.41	3.32	3.48	0.057		0	3		3	2	0	no rain in last 24 hours		
yes	yes	yes	no	no	45	Polanui	LLHS	JM	KH	RB	OSF	OSF180919	2027	Olowalu Pier	2018-09-19	9:26	1	3	5	1	3	10	3	0	0	OSF180919	27.4	34.5	6.47	99.3	8.10	1.33	1.53	1.71	1.52	0.125		0	3		0	0	0	no rain in last 24 hours		
yes	yes	yes	no	no	46	Polanui	LLHS	MB	KH	JS	PFF	PFF181010	2022	505 Front St	2018-10-10	8:18	2	1	6	2	2					PFF181010	27.1	32.9	6.48	97.7	8.11	14.90	15.50	15.00	15.13	0.021					0	9	0	Seal nearby; Stream stonger than usual		
yes	yes	yes	no	no	46	Polanui	LLHS	MB	KH	JS	PLH	PLH181010	2023	Lindsey Hale	2018-10-10	8:47	2	1	6	2	2					PLH181010	27.5	33.8	6.11	93.3	8.11	16.20	18.60	19.50	18.10	0.094					0	4	0			
yes	yes	yes	no	no	46	Polanui	LLHS	MB	KH	JS	PLT	PLT181010	2024	Lahaina Town	2018-10-10	9:09	2	1	6	2	2					PLT181010	27.5	34.0	6.04	92.4	8.10	5.82	7.49	7.19	6.83	0.130					1	2	0			
yes	yes	yes	no	no	46	Polanui	LLHS	MB	KH	JS	OSF	OSF181010	2027	Olowalu Pier	2018-10-10	9:44	2	1	6	2	2					OSF181010	28.2	34.5	6.76	104.8	8.19	3.94	4.29	4.29	4.17	0.048					0	0	0	Water not clear		
yes	yes	yes	no	no	47	Polanui	LLHS	JM	KH	RB	PFF	PFF181031	2022	505 Front St	2018-10-31	8:11	1	3	5	1	3					PFF181031	26.8	32.6	6.39	96.0	8.10	4.42	4.82	3.74	4.33	0.126					0	1	0	Drainage by PLH was more than 3/4 filled with large sticks and derbies.  (see photos - James has photos)		
yes	yes	yes	no	no	47	Polanui	LLHS	JM	KH	RB	PLH	PLH181031	2023	Lindsey Hale	2018-10-31	8:35	1	3	5	1	3					PLH181031	26.7	34.0	6.24	94.5	8.14	6.29	5.76	6.24	6.10	0.048					0	6	0			
yes	yes	yes	no	no	47	Polanui	LLHS	JM	KH	RB	PLT	PLT181031	2024	Lahaina Town	2018-10-31	8:52	1	3	5	1	3					PLT181031	26.7	33.1	6.20	93.2	8.13	39.10	37.70	39.70	38.83	0.026					0	0	0			
yes	yes	yes	no	no	47	Polanui	LLHS	JM	KH	RB	OSF	OSF181031	2027	Olowalu Pier	2018-10-31	9:23	1	3	5	1	3					OSF181031	27.0	34.3	6.36	96.9	8.11	3.30	2.74	3.06	3.03	0.093					0	0	0			
yes	yes	yes	no	no	48	Polanui	LLHS	JM	KH	RB	PFF	PFF181128	2022	505 Front St	2018-11-28	8:12	2	1	6	2	2					PFF181128	25.6	33.8	6.24	92.0	8.13	5.38	5.42	5.48	5.43	0.009					0	3	0	PFF stream flowing steadily		
yes	yes	yes	no	no	48	Polanui	LLHS	JM	KH	RB	PLH	PLH181128	2023	Lindsey Hale	2018-11-28	8:35	2	1	6	2	2					PLH181128	25.3	34.5	6.49	95.6	8.14	7.16	7.32	7.72	7.40	0.039					0	2	1			
yes	yes	yes	no	no	48	Polanui	LLHS	JM	KH	RB	PLT	PLT181128	2024	Lahaina Town	2018-11-28	8:55	2	1	6	2	2					PLT181128	25.5	34.5	5.89	87.0	8.11	20.80	19.50	20.10	20.13	0.032					0	1	0			
yes	yes	yes	no	no	48	Polanui	LLHS	JM	KH	RB	OSF	OSF181128	2027	Olowalu Pier	2018-11-28	9:25	2	1	6	2	2					OSF181128	25.0	34.8	6.80	99.8	8.16	2.77	2.57	2.49	2.61	0.055					0	5	0			
yes	yes	yes	no	no	49	Polanui	LLHS	JS	KH	RB	PFF	PFF181212	2022	505 Front St	2018-12-12	8:15	1	3	5	1	3					PFF181212	25.0	34.7	5.64	82.7	8.10	2.32	1.77	2.25	2.11	0.142					5	0	0			
yes	yes	yes	no	no	49	Polanui	LLHS	JS	KH	RB	PLH	PLH181212	2023	Lindsey Hale	2018-12-12	8:33	1	3	5	1	3					PLH181212	24.6	34.2	6.00	86.9	8.09	8.25	7.78	8.01	8.01	0.029					3	0	0			
yes	yes	yes	no	no	49	Polanui	LLHS	JS	KH	RB	PLT	PLT181212	2024	Lahaina Town	2018-12-12	8:50	1	3	5	1	3					PLT181212	25.3	34.3	5.82	85.5	8.06	7.99	7.65	7.93	7.86	0.023					0	0	0			
yes	yes	yes	no	no	49	Polanui	LLHS	JS	KH	RB	OSF	OSF181212	2027	Olowalu Pier	2018-12-12	9:20	1	3	5	1	3					OSF181212	24.1	34.9	6.52	94.2	8.14	1.21	1.47	1.27	1.32	0.103					0	0	0			
yes	yes	yes	no	no	50	Polanui	LLHS	JM	KH	RB	PFF	PFF190109	2022	505 Front St	2019-01-09	8:13	2	3	6	2	2					PFF190109	24.5	34.6	6.74	97.6	8.19	3.38	3.38	3.47	3.41	0.015					0	3	0			
yes	yes	yes	no	no	50	Polanui	LLHS	JM	KH	RB	PLH	PLH190109	2023	Lindsey Hale	2019-01-09	8:35	2	3	6	2	2					PLH190109	24.2	34.1	6.74	97.0	8.16	10.60	10.60	10.60	10.60	0.000					0	0	0			
yes	yes	yes	no	no	50	Polanui	LLHS	JM	KH	RB	PLT	PLT190109	2024	Lahaina Town	2019-01-09	8:52	2	3	6	2	2					PLT190109	23.8	33.7	6.34	90.4	8.08	14.30	14.60	13.70	14.20	0.032					0	5	0			
yes	yes	yes	no	no	50	Polanui	LLHS	JM	KH	RB	OSF	OSF190109	2027	Olowalu Pier	2019-01-09	9:20	2	3	6	2	2					OSF190109	23.9	34.4	6.28	90.0	8.08	3.48	3.46	3.56	3.50	0.015					0	0	0			
yes	yes	yes	no	no	51	Polanui	LLHS	JM	KH	RB	PFF	PFF190130	2022	505 Front St	2019-01-30	8:10	1	1	5	1	3					PFF190130	22.6	34.2	6.61	93.3	8.13	1.92	1.67	1.58	1.72	0.102					0	2	0			
yes	yes	yes	no	no	51	Polanui	LLHS	JM	KH	RB	PLH	PLH190130	2023	Lindsey Hale	2019-01-30	8:30	1	1	5	1	3					PLH190130	22.4	34.0	6.47	90.9	8.14	4.13	4.28	3.89	4.10	0.048					5	2	0			
yes	yes	yes	no	no	51	Polanui	LLHS	JM	KH	RB	PLT	PLT190130	2024	Lahaina Town	2019-01-30	8:50	1	1	5	1	3					PLT190130	22.2	33.8	6.50	90.9	8.16	3.78	3.68	3.03	3.50	0.116					5	0	0			
yes	yes	yes	no	no	51	Polanui	LLHS	JM	KH	RB	OSF	OSF190130	2027	Olowalu Pier	2019-01-30	9:17	1	1	5	1	3					OSF190130	23.6	34.5	6.32	90.9	8.12	1.60	1.66	1.72	1.66	0.036					0	0	0			
yes	yes	yes	no	no	52	Polanui	LLHS	JM	KH	RB	PFF	PFF190220	2022	505 Front St	2019-02-20	8:07	2	3	6	2	2					PFF190220	23.1	33.9	6.31	89.3	8.14	6.18	5.36	4.76	5.43	0.131					1	5	0	The san in teh water is unusually loose which allowed Rich to sink 6 or so inches at PLH and PLT.		
yes	yes	yes	no	no	52	Polanui	LLHS	JM	KH	RB	PLH	PLH190220	2023	Lindsey Hale	2019-02-20	8:30	2	3	6	2	2					PLH190220	23.0	33.7	5.98	84.5	8.12	26.30	25.00	26.10	25.80	0.027					1	1	0	HQ4D-2 - 50% battery		
yes	yes	yes	no	no	52	Polanui	LLHS	JM	KH	RB	PLT	PLT190220	2024	Lahaina Town	2019-02-20	8:42	2	3	6	2	2					PLT190220	23.4	33.2	5.93	84.1	8.11	16.00	14.90	16.00	15.63	0.041					1	2	0			
yes	yes	yes	no	no	52	Polanui	LLHS	JM	KH	RB	OSF	OSF190220	2027	Olowalu Pier	2019-02-20	9:30	2	3	6	2	2					OSF190220	24.2	34.2	6.74	97.4	8.15	6.68	7.22	6.31	6.74	0.068					0	0	0			
yes	yes	yes	no	no	53	Polanui	LLHS	JM	KH	RB	PFF	PFF190313	2022	505 Front St	2019-03-13	8:14	1	3	5	1	3					PFF190313	23.4	35.1	6.26	89.7	8.11	1.85	2.53	2.63	2.34	0.182					4	18	0	18 on beach for PFF is approx number.		
yes	yes	yes	no	no	53	Polanui	LLHS	JM	KH	RB	PLH	PLH190313	2023	Lindsey Hale	2019-03-13	8:32	1	3	5	1	3					PLH190313	23.5	35.1	6.02	86.5	8.10	3.58	4.72	3.78	4.03	0.151					0	8	0	PFF stream path is about 30ft north of the normal path		
yes	yes	yes	no	no	53	Polanui	LLHS	JM	KH	RB	PLT	PLT190313	2024	Lahaina Town	2019-03-13	8:49	1	3	5	1	3					PLT190313	24.2	35.0	6.02	87.4	8.09	7.21	7.11	7.09	7.14	0.009					3	3	0	PLT - 2 monk seals were frolicking approx. 40ft to the right of our sample path.  Rich had to walk about 90ft from shore and 30ft beyond the seals.		
yes	yes	yes	no	no	53	Polanui	LLHS	JM	KH	RB	OSF	OSF190313	2027	Olowalu Pier	2019-03-13	9:19	1	3	5	1	3					OSF190313	23.8	35.6	6.61	95.6	8.11	7.15	6.91	6.20	6.75	0.073					0	0	0			
yes	yes	yes	no	no	54	Polanui	LLHS	JM	KH	RB	PFF	PFF190403	2022	505 Front St	2019-04-03	8:09	1	3	5	1	3					PFF190403	24.3	35.8	6.51	94.9	8.09	1.78	1.69	1.37	1.61	0.134					0	5	0			
yes	yes	yes	no	no	54	Polanui	LLHS	JM	KH	RB	PLH	PLH190403	2023	Lindsey Hale	2019-04-03	8:30	1	3	5	1	3					PLH190403	24.5	35.2	6.20	90.4	8.10	3.94	3.83	4.52	4.10	0.090					2	0	0			
yes	yes	yes	no	no	54	Polanui	LLHS	JM	KH	RB	PLT	PLT190403	2024	Lahaina Town	2019-04-03	8:47	1	3	5	1	3					PLT190403	24.9	35.7	6.34	93.3	8.13	1.54	1.26	1.37	1.39	0.101					2	0	0			
yes	yes	yes	no	no	54	Polanui	LLHS	JM	KH	RB	OSF	OSF190403	2027	Olowalu Pier	2019-04-03	9:24	1	3	5	1	3					OSF190403	25.1	35.7	6.75	99.8	8.14	5.37	6.27	4.91	5.52	0.125					0	0	0			
yes	yes	yes	no	no	55	Polanui	LLHS	JM	KH	RB	PFF	PFF190424	2022	505 Front St	2019-04-24	8:20	2	2	6	2	2					PFF190424	24.9	35.3	6.39	93.9	8.13	2.80	2.70	3.30	2.93	0.110					0	1	0	PFF - Stream flowing straight down		
yes	yes	yes	no	no	55	Polanui	LLHS	JM	KH	RB	PLH	PLH190424	2023	Lindsey Hale	2019-04-24	8:37	2	2	6	2	2					PLH190424	25.1	35.8	6.46	95.6	8.11	1.68	1.24	1.41	1.44	0.154					1	8	0			
yes	yes	yes	no	no	55	Polanui	LLHS	JM	KH	RB	PLT	PLT190424	2024	Lahaina Town	2019-04-24	8:55	2	2	6	2	2					PLT190424	25.6	34.8	5.94	88.1	8.11	4.64	4.52	4.45	4.54	0.021					2	2	0			
yes	yes	yes	no	no	55	Polanui	LLHS	JM	KH	RB	OSF	OSF190424	2027	Olowalu Pier	2019-04-24	9:29	2	2	6	2	2					OSF190424	26.2	35.9	6.86	103.4	8.18	3.18	3.38	3.34	3.30	0.032					0	0	0			
yes	yes	yes	no	no	56	Polanui	LLHS	JM	KH	RB	PFF	PFF190515	2022	505 Front St	2019-05-15	8:14	1	3	5	1	3					PFF190515	25.7	35.6	6.22	93.1	8.09	2.02	2.00	1.89	1.97	0.036				Y	1	3	0	Low tide		
yes	yes	yes	no	no	56	Polanui	LLHS	JM	KH	RB	PLH	PLH190515	2023	Lindsey Hale	2019-05-15	8:35	1	3	5	1	3					PLH190515	26.0	35.3	6.00	90.0	8.08	1.80	1.51	1.41	1.57	0.129				N/A	0	15	0			
yes	yes	yes	no	no	56	Polanui	LLHS	JM	KH	RB	PLT	PLT190515	2024	Lahaina Town	2019-05-15	8:53	1	3	5	1	3					PLT190515	26.2	35.1	6.50	97.8	8.14	2.02	1.80	2.17	2.00	0.093				N/A	2	4	0			
yes	yes	yes	no	no	56	Polanui	LLHS	JM	KH	RB	OSF	OSF190515	2027	Olowalu Pier	2019-05-15	9:24	1	3	5	1	3					OSF190515	26.4	35.9	6.71	101.6	8.13	3.86	4.75	4.87	4.49	0.123				N/A	0	0	0			
yes	yes	yes	no	no	57	Polanui	LLHS	JM	KH	RB	PFF	PFF190605	2022	505 Front St	2019-06-05	8:10	2	NBBF	6	2	2					PFF190605	27.1	35.4	5.79	88.3	8.14	1.72	1.70	1.75	1.72	0.015				Y	0	12	0	Extreme Low Tide		
yes	yes	yes	no	no	57	Polanui	LLHS	JM	KH	RB	PLH	PLH190605	2023	Lindsey Hale	2019-06-05	8:32	2	NBBF	6	2	2					PLH190605	27.5	35.6	5.12	78.6	8.09	2.27	2.25	2.52	2.35	0.064				N	0	3	0			
yes	yes	yes	no	no	57	Polanui	LLHS	JM	KH	RB	PLT	PLT190605	2024	Lahaina Town	2019-06-05	8:48	2	NBBF	6	2	2					PLT190605	27.5	35.8	6.14	94.5	8.14	2.35	2.05	2.65	2.35	0.128					0	0	0			
yes	yes	no	no	no	57	Polanui	LLHS	JM	KH	RB	OSF	OSF190605	2027	Olowalu Pier	2019-06-05	9:25	2	NBBF	6	2	2					OSF190605	28.0	36.0	6.14	95.6	8.14	6.95	5.46	5.42	5.94	0.147					0	2	0			
yes	yes	yes	no	no	58	Polanui	LLHS	RB	KH	BB	PFF	PFF190626	2022	505 Front St	2019-06-26	8:16	1	3	5	1	3					PFF190626	26.5	32.2	6.07	92.4	8.03	6.54	6.84	7.38	6.92	0.062				Y	0	24	0			
yes	yes	yes	no	no	58	Polanui	LLHS	RB	KH	BB	PLH	PLH190626	2023	Lindsey Hale	2019-06-26	8:39	1	3	5	1	3					PLH190626	26.7	34.7	5.98	91.1	8.06	13.50	11.60	9.95	11.68	0.152				N	0	0	0			
yes	yes	yes	no	no	58	Polanui	LLHS	RB	KH	BB	PLT	PLT190626	2024	Lahaina Town	2019-06-26	8:59	1	3	5	1	3					PLT190626	26.5	34.5	5.98	90.8	8.10	5.27	6.50	5.67	5.81	0.108					0	1	0			
yes	yes	no	no	no	58	Polanui	LLHS	RB	KH	BB	OSF	OSF190626	2027	Olowalu Pier	2019-06-26	9:32	1	3	5	1	3					OSF190626	27.2	35.9	7.06	109.0	8.07	5.56	5.53	5.73	5.61	0.019					0	3	0			
yes	yes	yes	no	no	59	Polanui	LLHS	JM	KH	RB	PFF	PFF190717	2022	505 Front St	2019-07-17	8:09	2	NBBF	6	2	2					PFF190717	27.8	35.8	6.19	96.3	8.09	3.14	4.01	3.04	3.40	0.157				Y	3	14	0			
yes	yes	yes	no	no	59	Polanui	LLHS	JM	KH	RB	PLH	PLH190717	2023	Lindsey Hale	2019-07-17	8:38	2	NBBF	6	2	2					PLH190717	27.9	35.3	5.78	89.7	8.10	2.34	2.31	2.35	2.33	0.009				N	0	6	0			
yes	yes	yes	no	no	59	Polanui	LLHS	JM	KH	RB	PLT	PLT190717	2024	Lahaina Town	2019-07-17	8:58	2	NBBF	6	2	2					PLT190717	28.1	36.1	6.09	95.3	8.09	1.02	1.47	1.43	1.31	0.191					8	3	0			
yes	yes	yes	no	no	59	Polanui	LLHS	JM	KH	RB	OSF	OSF190717	2027	Olowalu Pier	2019-07-17	9:32	2	NBBF	6	2	2					OSF190717	28.4	36.2	6.32	99.4	8.11	3.26	3.18	3.43	3.29	0.039					0	0	0			
yes	yes	yes	no	no	60	Polanui	LLHS	RB	KH	LT	PFF	PFF190807	2022	505 Front St	2019-08-07	8:15	1	3	5	1	3					PFF190807	28.1	35.7	6.42	100.2	8.10	2.21	2.43	1.83	2.16	0.141				Y	10	25	1			
yes	yes	yes	no	no	60	Polanui	LLHS	RB	KH	LT	PLH	PLH190807	2023	Lindsey Hale	2019-08-07	8:50	1	3	5	1	3					PLH190807	28.2	35.9	6.42	100.5	8.07	9.71	9.46	9.23	9.47	0.025				N	0	4	0			
yes	yes	yes	no	no	60	Polanui	LLHS	RB	KH	LT	PLT	PLT190807	2024	Lahaina Town	2019-08-07	9:07	1	3	5	1	3					PLT190807	28.2	35.5	6.16	96.1	8.08	28.10	27.50	26.20	27.27	0.036				N	0	1	0			
yes	yes	no	no	no	60	Polanui	LLHS				OSF	OSF190807	2027	Olowalu Pier	2019-08-07											OSF190807																		Olowalu Pier not sampled at all due to miscommunication		
yes	yes	yes	no	no	61	Polanui	LLHS	JM	RB	LT	PFF	PFF190828	2022	505 Front St	2019-08-28	8:10	2	NBBF	6	2	2					PFF190828	28.7	35.7	5.25	82.7	8.06	1.52	1.63	1.76	1.64	0.073				Y	0	6	0	PFF - light stream flow		
yes	yes	yes	no	no	61	Polanui	LLHS	JM	RB	LT	PLH	PLH190828	2023	Lindsey Hale	2019-08-28	8:40	2	NBBF	6	2	2					PLH190828	28.9	36.0	5.39	85.3	8.06	2.76	2.70	2.59	2.68	0.032				N	9	3	0			
yes	yes	yes	no	no	61	Polanui	LLHS	JM	RB	LT	PLT	PLT190828	2024	Lahaina Town	2019-08-28	9:05	2	NBBF	6	2	2					PLT190828	29.2	35.6	5.57	88.5	8.09	2.13	2.27	2.32	2.24	0.044					9	1	0			
yes	yes	no	no	no	61	Polanui	LLHS	JM	RB	LT	OSF	OSF190828	2027	Olowalu Pier	2019-08-28	9:25	2	NBBF	6	2	2					OSF190828	29.6	36.3	6.36	102.1	8.15	1.73	2.22	2.19	2.05	0.134					0	3	0	OSF - low DO reading - rechecked meter log		
yes	yes	yes	no	no	62	Polanui	LLHS	RB	JM	LT	PFF	PFF190918	2022	505 Front St	2019-09-18	8:15	1	3	5	1	3					PFF190918	28.2	35.5	6.46	101.0	8.08	4.50	4.54	4.91	4.65	0.049				Y	8	0	0	PFF - steady flow of stream at 505 Front St (regular)		
yes	yes	yes	no	no	62	Polanui	LLHS	RB	JM	LT	PLH	PLH190918	2023	Lindsey Hale	2019-09-18	8:45	1	3	5	1	3					PLH190918	27.8	35.8	6.40	99.7	8.11	24.50	25.40	24.90	24.93	0.018				N	0	8	0	PLH - culvert blocked by sand, 5% cloud cover, no wind		
yes	yes	yes	no	no	62	Polanui	LLHS	RB	JM	LT	PLT	PLT190918	2024	Lahaina Town	2019-09-18	9:05	1	3	5	1	3					PLT190918	28.1	35.5	5.90	92.2	8.07	11.50	11.50	11.80	11.60	0.015				NA	0	2	0			
yes	yes	no	no	no	62	Polanui	LLHS	RB	JM	LT	OSF	OSF190918	2027	Olowalu Pier	2019-09-18	9:37	1	3	5	1	3					OSF190918	28.4	36.4	7.17	113.1	8.18	1.27	1.57	1.40	1.41	0.106				NA	0	0	0	OSF - waves (0.5') passing over reef because of high tide		
yes	yes	yes	no	no	63	Polanui	LLHS	KH	RB	LT	PFF	PFF191009	2022	505 Front St	2019-10-09	8:10	2	NBBF	6	2	2					PFF191009	27.6	33.4	5.75	88.0	8.03	5.31	5.71	5.74	5.59	0.043				Y	0	10	0	PFF - stream flowing		
yes	yes	yes	no	no	63	Polanui	LLHS	KH	RB	LT	PLH	PLH191009	2023	Lindsey Hale	2019-10-09	8:34	2	NBBF	6	2	2					PLH191009	27.7	35.8	5.70	88.6	8.05	6.08	6.04	5.88	6.00	0.018				N	0	2	0	PLH - drainage is still totally covered,  outrigger in water w/5 people		
yes	yes	yes	no	no	63	Polanui	LLHS	KH	RB	LT	PLT	PLT191009	2024	Lahaina Town	2019-10-09	8:53	2	NBBF	6	2	2					PLT191009	28.1	36.2	5.92	92.7	8.07	1.92	1.71	1.50	1.71	0.123					5	2	0	PLT - 4th tubidity reading 1.82,  1 possibly 2 monk seals in water, high cirrus clouds, steady Kona wind		
yes	yes	yes	no	no	63	Polanui	LLHS	KH	RB	LT	OSF	OSF191009	2027	Olowalu Pier	2019-10-09	9:21	2	NBBF	6	2	2					OSF191009	28.3	36.3	6.07	95.5	8.07	0.93	1.04	0.99	0.99	0.056					0	4	0			
yes	yes	yes	no	no	64	Polanui	LLHS	RB	JM	KH	PFF	PFF191030	2022	505 Front St	2019-10-30	8:15	1	1	5	1	3					PFF191030	27.2	35.9	6.26	96.8	8.05	3.88	4.28	4.11	4.09	0.049				Y	0	0	0			
yes	yes	yes	no	no	64	Polanui	LLHS	RB	JM	KH	PLH	PLH191030	2023	Lindsey Hale	2019-10-30	8:41	1	1	5	1	3					PLH191030	27.2	35.7	5.99	92.5	8.06	14.50	14.80	15.20	14.83	0.024				N	0	7	0			
yes	yes	yes	no	no	64	Polanui	LLHS	RB	JM	KH	PLT	PLT191030	2024	Lahaina Town	2019-10-30	8:59	1	1	5	1	3					PLT191030	27.7	35.6	5.68	88.4	8.04	11.40	10.80	10.80	11.00	0.031				NA	1	3	0	PLT - HD40D-1 instrument turned off without prompt for a second time at this site, requiring turning back on and reset of date/time.  It also happened at an unspecified earlier site this session as well.		
yes	yes	no	no	no	64	Polanui	LLHS	RB	JM	KH	OSF	OSF191030	2027	Olowalu Pier	2019-10-30	9:31	1	1	5	1	3					OSF191030	27.8	36.1	6.68	104.5	8.10	1.12	1.28	1.15	1.18	0.072				NA	0	0	0			
yes	yes	yes	no	no	65	Polanui	LLHS	RB	LT	KH	PFF	PFF191120	2022	505 Front St	2019-11-20	8:25	2	NBBF	6	2	2					PFF191120	27.4	34.3	6.12	93.5	8.11	2.25	3.12	2.92	2.76	0.165				Y	0	2	1	Ground still wet from recent rain.  Hmeless person camping on site		
