Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+		
yes	yes	yes	no	no	56	R2RN	LLHS	JS	BB	CH	RHL	RHL190517	2001	Honolua Bay	2019-05-17	7:53	1	3	5	1	3					RHL190517	23.9	23.0	7.14	96.3	8.19	4.24	4.96	4.86	4.69	0.083				Y	6	7	0	RHL - Light rain, heavy stream flow	
yes	yes	yes	no	no	56	R2RN	LLHS	JS	BB	CH	RON	RON190517	2004	Oneloa Bay	2019-05-17	8:39	1	3	5	1	3					RON190517	25.4	35.5	6.92	102.8	8.22	0.33	0.36	0.32	0.34	0.062				N/A	2	0	0		
yes	yes	yes	no	no	56	R2RN	LLHS	JS	BB	CH	RFS	RFS190517	2005	Kapalua Bay	2019-05-17	9:08	1	3	5	1	3					RFS190517	25.2	33.1	6.99	102.3	8.13	1.75	2.16	1.77	1.89	0.122				N/A	19	41	0		
yes	yes	yes	no	no	56	R2RN	LLHS	JS	BB	CH	RKO	RKO190517	2008	Ka'opala Bay	2019-05-17	9:30	1	3	5	1	3					RKO190517	25.3	34.4	6.80	102.0	8.16	6.75	6.56	6.68	6.66	0.014				N/A	0	3	0		
yes	yes	yes	no	no	56	R2RN	LLHS	JS	BB	CH	RKV	RKV190517	2074	Kahana Village	2019-05-17	10:08	1	3	5	1	3					RKV190517	26.1	34.4	6.46	96.6	8.16	5.45	5.50	6.15	5.70	0.069				N/A	1	5	0		
yes	yes	yes	no	no	57	R2RN	LLHS	LH	BB		RHL	RHL190607	2001	Honolua Bay	2019-06-07	7:50	2	NBBF	6	2	2					RHL190607	25.7	35.3	6.05	90.2	8.18	1.68	1.42	1.63	1.58	0.088				N	4	8	0		
yes	yes	yes	no	no	57	R2RN	LLHS	LH	BB		RON	RON190607	2004	Oneloa Bay	2019-06-07	8:40	2	NBBF	6	2	2					RON190607	26.1	36.1	6.88	104.0	8.26	0.46	0.32	0.32	0.37	0.220					0	2	0		
yes	yes	yes	no	no	57	R2RN	LLHS	LH	BB		RFS	RFS190607	2005	Kapalua Bay	2019-06-07	9:10	2	NBBF	6	2	2					RFS190607	26.4	32.0	6.61	98.1	8.15	1.05	0.91	0.92	0.96	0.081					25	50+	0		
yes	yes	yes	no	no	57	R2RN	LLHS	LH	BB		RKO	RKO190607	2008	Ka'opala Bay	2019-06-07	9:45	2	NBBF	6	2	2					RKO190607	26.9	35.5	6.11	93.2	8.17	3.27	2.86	3.09	3.07	0.067				N	0	4	0		
yes	yes	yes	no	no	57	R2RN	LLHS	LH	BB		RKV	RKV190607	2074	Kahana Village	2019-06-07											RKV190607																		Site Closed - No sampling performed	
yes	yes	yes	no	no	58	R2RN	LLHS	JS	LH	CH	RHL	RHL190628	2001	Honolua Bay	2019-06-28	7:50	1	3	5	1	3					RHL190628	26.4	35.0	6.01	91.0	8.13	2.04	1.90	1.96	1.97	0.036				N 	4	2	0	RKV - Recent dune restoration project	
yes	yes	yes	no	no	58	R2RN	LLHS	JS	LH	CH	RON	RON190628	2004	Oneloa Bay	2019-06-28	8:37	1	3	5	1	3					RON190628	26.8	36.1	6.81	104.4	8.20	1.09	1.06	1.08	1.08	0.014				N/A	1	4	0	RKV - High DO confirmed 	
yes	yes	yes	no	no	58	R2RN	LLHS	JS	LH	CH	RFS	RFS190628	2005	Kapalua Bay	2019-06-28	9:15	1	3	5	1	3					RFS190628	28.0	34.6	6.31	98.0	8.09	1.41	2.67	1.47	1.85	0.384				N/A	22	45	0		
yes	yes	yes	no	no	58	R2RN	LLHS	JS	LH	CH	RKO	RKO190628	2008	Ka'opala Bay	2019-06-28	9:35	1	3	5	1	3					RKO190628	28.2	35.5	6.46	101.1	8.16	7.53	7.27	7.33	7.38	0.018				N/A	0	0	0		
yes	yes	yes	no	no	58	R2RN	LLHS	JS	LH	CH	RKV	RKV190628	2074	Kahana Village	2019-06-28	10:00	1	3	5	1	3					RKV190628	28.6	35.5	7.58	119.3	8.26	2.80	2.88	2.70	2.79	0.032				N/A	0	0	0		
yes	yes	yes	no	no	59	R2RN	LLHS	LB	LH	JS	RHL	RHL190719	2001	Honolua Bay	2019-07-19	7:53	2	NBBF	6	2	2					RHL190719	26.7	35.2	6.09	92.5	8.16	2.35	2.05	1.67	2.02	0.168				N	12	15	0		
yes	yes	yes	no	no	59	R2RN	LLHS	LB	LH	JS	RON	RON190719	2004	Oneloa Bay	2019-07-19	8:35	2	NBBF	6	2	2					RON190719	27.1	36.1	6.56	101.0	8.18	1.75	1.60	1.56	1.64	0.061					0	5	0		
yes	yes	yes	no	no	59	R2RN	LLHS	LB	LH	JS	RFS	RFS190719	2005	Kapalua Bay	2019-07-19	9:02	2	NBBF	6	2	2					RFS190719	27.7	34.9	6.27	96.9	8.12	1.00	0.86	0.94	0.93	0.075					15	25	0		
yes	yes	yes	no	no	59	R2RN	LLHS	LB	LH	JS	RKO	RKO190719	2008	Ka'opala Bay	2019-07-19	9:25	2	NBBF	6	2	2					RKO190719	27.4	35.5	6.13	94.5	8.13	3.36	3.37	3.15	3.29	0.038				N	0	2	0		
yes	yes	yes	no	no	59	R2RN	LLHS	LB	LH	JS	RKV	RKV190719	2074	Kahana Village	2019-07-19	9:45	2	NBBF	6	2	2					RKV190719	27.2	35.7	5.91	91.0	8.16	5.46	5.16	4.60	5.07	0.086					0	8	0		
yes	yes	yes	no	no	60	R2RN	LLHS	LB	LH	CM	RHL	RHL190809	2001	Honolua Bay	2019-08-09	7:49	1	3	5	1	3					RHL190809	26.4	35.3	5.21	78.9	8.09	0.90	1.03	1.56	1.16	0.301				0	2	10	0	some floppy particles in sample, sample area in shade from trees	
yes	yes	yes	no	no	60	R2RN	LLHS	LB	LH	CM	RON	RON190809	2004	Oneloa Bay	2019-08-09	8:26	1	3	5	1	3					RON190809	27.2	35.9	6.86	105.8	8.15	0.71	0.64	0.66	0.67	0.054					2	6	0		
yes	yes	yes	no	no	60	R2RN	LLHS	LB	LH	CM	RFS	RFS190809	2005	Kapalua Bay	2019-08-09	8:50	1	3	5	1	3					RFS190809	27.6	35.2	6.39	98.7	8.13	1.72	1.47	1.92	1.70	0.132					13	6	0		
yes	yes	yes	no	no	60	R2RN	LLHS	LB	LH	CM	RKO	RKO190809	2008	Ka'opala Bay	2019-08-09	9:15	1	3	5	1	3					RKO190809	27.9	35.1	6.00	93.1	8.12	7.39	7.63	7.44	7.49	0.017				0	0	0	0		
yes	yes	yes	no	no	60	R2RN	LLHS	LB	LH	CM	RKV	RKV190809	2074	Kahana Village	2019-08-09	9:34	1	3	5	1	3					RKV190809	27.8	35.9	5.55	86.4	8.12	6.51	6.92	6.40	6.61	0.041					2	0	0		
yes	yes	yes	no	no	61	R2RN	LLHS	CH	LH	BB	RHL	RHL190830	2001	Honolua Bay	2019-08-30	7:45	2	NBBF	6	2	2					RHL190830	27.5	35.0	5.63	86.5	8.11	4.40	4.41	5.60	4.80	0.144				N	4	5	0	RHL - 4 boats	
yes	yes	yes	no	no	61	R2RN	LLHS	CH	LH	BB	RON	RON190830	2004	Oneloa Bay	2019-08-30	8:30	2	NBBF	6	2	2					RON190830	27.8	36.0	6.64	103.3	8.20	0.62	0.83	0.63	0.69	0.171					0	6	0		
yes	yes	yes	no	no	61	R2RN	LLHS	CH	LH	BB	RFS	RFS190830	2005	Kapalua Bay	2019-08-30	8:55	2	NBBF	6	2	2					RFS190830	27.8	32.3	6.16	93.7	8.08	1.69	1.99	1.14	1.61	0.268					13	15	0		
yes	yes	yes	no	no	61	R2RN	LLHS	CH	LH	BB	RKO	RKO190830	2008	Ka'opala Bay	2019-08-30	9:20	2	NBBF	6	2	2					RKO190830	28.2	35.3	6.13	95.6	8.14	6.23	6.38	6.45	6.35	0.018				N	0	1	0		
yes	yes	yes	no	no	61	R2RN	LLHS	CH	LH	BB	RKV	RKV190830	2074	Kahana Village	2019-08-30	9:45	2	    NBBF	6	2	2					RKV190830	28.2	35.4	5.74	89.3	8.16	11.50	9.72	11.10	10.77	0.087				N	0	0	0	RKV - Runoff at nearby Kahana Reef where sea wall repair work ongoing (red - flowing into ocean) - picture sent to Dana	
yes	yes	yes	no	no	62	R2RN	LLHS	LB	LH	CH	RHL	RHL190920	2001	Honolua Bay	2019-09-20	7:50	1	3	5	1	3					RHL190920	26.8	36.0	6.03	92.5	8.14	0.81	0.89	1.00	0.90	0.106					1	6	0	RHL - took second salinity reading - 35.9 ppt, Landscape crew in parking lot, mowing and blowing	
yes	yes	yes	no	no	62	R2RN	LLHS	LB	LH	CH	RON	RON190920	2004	Oneloa Bay	2019-09-20	8:30	1	3	5	1	3					RON190920	26.9	36.3	6.69	103.1	8.18	0.63	0.64	0.65	0.64	0.016					1	0	0	RON - took second salinity reading - 36.3 ppt, breezy, choppy	
yes	yes	yes	no	no	62	R2RN	LLHS	LB	LH	CH	RFS	RFS190920	2005	Kapalua Bay	2019-09-20	8:55	1	3	5	1	3					RFS190920	27.2	36.0	6.52	107.0	8.13	3.16	2.33	2.60	2.70	0.157					3	6	0	RFS - took second salinity reading - 36.0, breezy and choppy	
yes	yes	yes	no	no	62	R2RN	LLHS	LB	LH	CH	RKO	RKO190920	2008	Ka'opala Bay	2019-09-20	9:20	1	3	5	1	3					RKO190920	27.1	35.4	6.40	98.4	8.09	14.20	13.90	14.00	14.03	0.011					0	1	0		
yes	yes	yes	no	no	62	R2RN	LLHS	LB	LH	CH	RKV	RKV190920	2074	Kahana Village	2019-09-20	9:40	1	3	5	1	3					RKV190920	27.2	35.9	6.46	99.6	8.09	31.20	29.00	30.10	30.10	0.037					0	2	0	RKV - wood debris in ocean, took second salinity reading 35.4 ppt, ongoing seawall construction south of site, breezy, choppy	
yes	yes	yes	no	no	63	R2RN	LLHS	LB	LH	BB	RHL	RHL191011	2001	Honolua Bay	2019-10-11	7:50	2	NBBF	6	2	2					RHL191011	27.6	35.0	5.59	85.9	8.12	3.38	3.31	3.14	3.28	0.038				N	8	2	0		
yes	yes	yes	no	no	63	R2RN	LLHS	LB	LH	BB	RON	RON191011	2004	Oneloa Bay	2019-10-11	8:30	2	NBBF	6	2	2					RON191011	28.2	36.3	6.39	100.0	8.16	1.39	1.21	1.43	1.34	0.087					2	2	0		
yes	yes	yes	no	no	63	R2RN	LLHS	LB	LH	BB	RFS	RFS191011	2005	Kapalua Bay	2019-10-11	8:50	2	NBBF	6	2	2					RFS191011	28.4	34.3	6.23	96.6	8.07	2.23	2.50	2.19	2.31	0.073					6	17	0		
yes	yes	yes	no	no	63	R2RN	LLHS	LB	LH	BB	RKO	RKO191011	2008	Ka'opala Bay	2019-10-11	9:15	2	NBBF	6	2	2					RKO191011	28.3	34.9	5.99	93.2	8.09	5.22	5.65	5.59	5.49	0.042				N	0	3	0	RKO - 4th turbidity reading 5.22	
yes	yes	yes	no	no	63	R2RN	LLHS	LB	LH	BB	RKV	RKV191011	2074	Kahana Village	2019-10-11	9:35	2	    NBBF	6	2	2					RKV191011	28.6	35.4	5.62	88.0	8.08	6.61	6.60	6.35	6.52	0.023					0	2	0		
yes	yes	yes	no	no	64	R2RN	LLHS	LB	LH	CH	RHL	RHL191101	2001	Honolua Bay	2019-11-01	7:50	1	1	5	1	3					RHL191101	26.0	35.9	6.25	94.7	8.14	3.61	3.93	3.68	3.74	0.045				N	0	0	0	RHL - eel and fish at collection site	
yes	yes	yes	no	no	64	R2RN	LLHS	LB	LH	CH	RON	RON191101	2004	Oneloa Bay	2019-11-01	8:35	1	1	5	1	3					RON191101	27.0	36.0	6.71	103.6	8.15	1.03	0.99	1.10	1.04	0.054					1	1	0		
yes	yes	yes	no	no	64	R2RN	LLHS	LB	LH	CH	RFS	RFS191101	2005	Kapalua Bay	2019-11-01	8:55	1	1	5	1	3					RFS191101	27.5	35.9	6.47	100.2	8.12	1.47	1.39	1.31	1.39	0.058					9	5	0		
yes	yes	yes	no	no	64	R2RN	LLHS	LB	LH	CH	RKO	RKO191101	2008	Ka'opala Bay	2019-11-01	9:20	1	1	5	1	3					RKO191101	27.2	35.7	6.24	96.4	8.10	4.41	4.48	4.00	4.30	0.060				N	1	0	0		
yes	yes	yes	no	no	64	R2RN	LLHS	LB	LH	CH	RKV	RKV191101	2074	Kahana Village	2019-11-01	9:45	1	1	5	1	3					RKV191101	27.5	35.7	6.48	100.5	8.11	10.50	10.70	10.80	10.67	0.014					0	10	0	RKV - Kahana Reef Seawall Construction	
yes	yes	yes	no	no	65	R2RN	LLHS	LB	LH	BB	RHL	RHL191122	2001	Honolua Bay	2019-11-22	7:50	2	NBBF	6	2	2					RHL191122	25.5	34.8	6.28	93.3	8.13	43.40	41.60	43.80	42.93	0.027				Y	0	3	0	Rain night before.  Outside surf break	
yes	yes	yes	no	no	65	R2RN	LLHS	LB	LH	BB	RON	RON191122	2004	Oneloa Bay	2019-11-22	8:25	2	NBBF	6	2	2					RON191122	23.6	36.2	6.50	98.6	8.19	1.35	1.21	1.23	1.26	0.060					0	3	0	Large surf, high winds.  Rain at end of sampling	
yes	yes	yes	no	no	65	R2RN	LLHS	LB	LH	BB	RFS	RFS191122	2005	Kapalua Bay	2019-11-22	8:45	2	NBBF	6	2	2					RFS191122	26.2	35.3	6.25	94.2	8.14	1.22	1.20	1.23	1.22	0.013					0	8	0	4th turbidity reading listed.  Discarded 1st reading 1.75 NTU.	
yes	yes	yes	no	no	65	R2RN	LLHS	LB	LH	BB	RKO	RKO191122	2008	Ka'opala Bay	2019-11-22	9:10	2	NBBF	6	2	2					RKO191122	26.0	35.3	6.44	96.7	8.13	6.40	7.85	7.27	7.17	0.102				N	0	0	0	4th Turbidity reading 6.16NTU	
yes	yes	yes	no	no	65	R2RN	LLHS	LB	LH	BB	RKV	RKV191122	2074	Kahana Village	2019-11-22	9:25	2	    NBBF	6	2	2					RKV191122	25.8	35.4	6.69	100.3	8.14	8.82	8.16	8.80	8.59	0.044					2	0	0	4th turbidity reading listed.  Discarded 1st reading 9.41 NTU.	
yes	yes	yes	no	no	66	R2RN	LLHS	CM	LH	CH	RHL	RHL191206	2001	Honolua Bay	2019-12-06	8:00	1	1	5	1	3					RHL191206	25.0	34.8	6.34	93.6	8.14	30.90	31.30	27.90	30.03	0.062				Y	0	0	0	RHL - raining, small amount of stream flow, not sure flowing into ocean - large wave at Keiki bowls but not close to shore	
yes	yes	yes	no	no	66	R2RN	LLHS	CM	LH	CH	RON	RON191206	2004	Oneloa Bay	2019-12-06	8:40	1	1	5	1	3					RON191206	25.9	35.9	6.80	102.7	8.19	0.98	1.09	1.01	1.03	0.055					0	2	0	RON - raining a little, heavier here, large waves on shore, waves peak at about 50 feet off shore about 5 feet, wrote turbidity in pH and crossed out (LH)	
yes	yes	yes	no	no	66	R2RN	LLHS	CM	LH	CH	RFS	RFS191206	2005	Kapalua Bay	2019-12-06	9:05	1	1	5	1	3					RFS191206	26.0	35.3	6.78	102.0	8.17	3.07	2.92	2.87	2.95	0.035					0	0	0		
yes	yes	yes	no	no	66	R2RN	LLHS	CM	LH	CH	RKO	RKO191206	2008	Ka'opala Bay	2019-12-06	9:26	1	1	5	1	3					RKO191206	25.3	34.9	6.82	101.0	8.12	19.70	19.60	18.90	19.40	0.022				N	0	0	0	RKO - not much rain, waves breaking far outside, shore is surgey, some small leaves in water, no rain	
yes	yes	yes	no	no	66	R2RN	LLHS	CM	LH	CH	RKV	RKV191206	2074	Kahana Village	2019-12-06	9:48	1	1	5	1	3					RKV191206	25.5	35.4	6.87	102.6	8.16	10.70	11.40	10.80	10.97	0.035					0	0	0		
yes	yes	yes	no	no	67	R2RN	LLHS	LH	TM	CH	RHL	RHL200110	2001	Honolua Bay	2020-01-10	8:00	2	NBBF	6	2	2					RHL200110	23.3	31.4	6.66	93.7	8.15	6.32	5.95	5.76	6.01	0.047				Y	0	0	0	Raining hard.  Took samples to RON to perform testing.	
yes	yes	yes	no	no	67	R2RN	LLHS	LH	TM	CH	RON	RON200110	2004	Oneloa Bay	2020-01-10	8:29	2	NBBF	6	2	2					RON200110	24.2	35.7	6.64	97.1	8.22	0.85	0.81	0.80	0.82	0.032				N	0	0	0		
yes	yes	yes	no	no	67	R2RN	LLHS	LH	TM	CH	RFS	RFS200110	2005	Kapalua Bay	2020-01-10	8:55	2	NBBF	6	2	2					RFS200110	23.9	34.9	6.45	93.3	8.13	1.46	1.45	1.35	1.42	0.043				N	2	3	0	4th turbidity reading listed.  Discarded 3rd. reading 1.92 NTU.	
yes	yes	yes	no	no	67	R2RN	LLHS	LH	TM	CH	RKO	RKO200110	2008	Ka'opala Bay	2020-01-10	9:25	2	NBBF	6	2	2					RKO200110	24.2	35.0	6.41	93.1	8.14	8.54	8.29	8.89	8.57	0.035				Y	0	0	0		
yes	yes	yes	no	no	67	R2RN	LLHS	LH	TM	CH	RKV	RKV200110	2074	Kahana Village	2020-01-10	9:45	2	    NBBF	6	2	2					RKV200110	23.6	33.2	6.77	96.5	8.16	11.10	13.40	10.20	11.57	0.143				N	0	0	0	4th turbidity reading listed.  Discarded 3rd. reading 14.9 NTU.	
yes	yes	yes	no	no	68	R2RN	LLHS	LB	TM	JS	RHL	RHL200131	2001	Honolua Bay	2020-01-31	8:05	1	1	5	1	3					RHL200131	23.3	34.9	6.58	94.0	8.12	7.35	7.90	8.68	7.98	0.084				N	0	0	0	4th. Turbidty reading - 8.98	
yes	yes	yes	no	no	68	R2RN	LLHS	LB	TM	JS	RON	RON200131	2004	Oneloa Bay	2020-01-31	8:48	1	1	5	1	3					RON200131	24.7	35.9	6.94	102.3	8.15	0.67	0.73	0.69	0.70	0.044				N	1	1	0	Dog	
yes	yes	yes	no	no	68	R2RN	LLHS	LB	TM	JS	RFS	RFS200131	2005	Kapalua Bay	2020-01-31	9:14	1	1	5	1	3					RFS200131	24.9	35.2	6.87	101.3	8.14	3.42	3.24	3.23	3.30	0.032				N	11	23	0		
yes	yes	yes	no	no	68	R2RN	LLHS	LB	TM	JS	RKO	RKO200131	2008	Ka'opala Bay	2020-01-31	9:38	1	1	5	1	3					RKO200131	24.5	35.0	6.87	100.3	8.12	12.00	13.00	12.60	12.53	0.040				N	3	1	0		
yes	yes	yes	no	no	68	R2RN	LLHS	LB	TM	JS	RKV	RKV200131	2074	Kahana Village	2020-01-31	10:08	1	1	5	1	3					RKV200131	25.0	35.4	7.12	106.1	8.17	4.90	5.19	5.02	5.04	0.029				N	1	7	0		
yes	yes	yes	no	no	69	R2RN	LLHS	LH	JS		RHL	RHL200221	2001	Honolua Bay	2020-02-21	7:55	2	NBBF	6	2	2					RHL200221	22.7	34.9	6.43	90.6	8.17	6.08	6.85	6.86	6.60	0.068				N	0	0	0		
yes	yes	yes	no	no	69	R2RN	LLHS	LH	JS		RON	RON200221	2004	Oneloa Bay	2020-02-21	8:40	2	NBBF	6	2	2					RON200221	23.3	35.7	6.74	96.4	8.21	0.62	0.66	0.61	0.63	0.042					0	2	0		
yes	yes	yes	no	no	69	R2RN	LLHS	LH	JS		RFS	RFS200221	2005	Kapalua Bay	2020-02-21	9:05	2	NBBF	6	2	2					RFS200221	24.0	33.6	6.72	96.0	8.14	1.37	1.38	1.40	1.38	0.011					12	17	0		
yes	yes	yes	no	no	69	R2RN	LLHS	LH	JS		RKO	RKO200221	2008	Ka'opala Bay	2020-02-21	9:35	2	NBBF	6	2	2					RKO200221	23.6	34.7	6.57	93.8	8.17	4.83	5.04	4.89	4.92	0.022				N	1	6	0		
yes	yes	yes	no	no	69	R2RN	LLHS	LH	JS		RKV	RKV200221	2074	Kahana Village	2020-02-21	10:00	2	    NBBF	6	2	2					RKV200221	23.7	34.8	6.96	99.7	8.21	2.96	3.54	3.64	3.38	0.109					0	4	0	RKV - 4th turbidity reading - 2.65	
yes	yes	yes	no	no	70	R2RN	LLHS	LH	LB	TM	RHL	RHL200313	2001	Honolua Bay	2020-03-13	7:50	1	1	5	1	3					RHL200313	23.5	34.5	6.87	98.7	8.11	97.30	92.70	96.90	95.63	0.027				N	0	0	0	HNL - 3rd turbidity test was 101, 4th turbidity test was 96.9 LB (changed to 4th value), rough water	
yes	yes	yes	no	no	70	R2RN	LLHS	LH	LB	TM	RON	RON200313	2004	Oneloa Bay	2020-03-13	8:25	1	1	5	1	3					RON200313	24.3	35.8	6.96	102.1	8.18	0.80	0.96	0.88	0.88	0.091					0	0	0		
yes	yes	yes	no	no	70	R2RN	LLHS	LH	LB	TM	RFS	RFS200313	2005	Kapalua Bay	2020-03-13	8:50	1	1	5	1	3					RFS200313	24.4	35.1	6.93	101.4	8.16	3.26	2.80	3.03	3.03	0.076					4	9	0	RFS - 4th turbidity test 2.57 (did NOT change to 4th value)	
yes	yes	yes	no	no	70	R2RN	LLHS	LH	LB	TM	RKO	RKO200313	2008	Ka'opala Bay	2020-03-13	9:10	1	1	5	1	3					RKO200313	24.4	34.9	6.83	99.9	8.12	13.60	14.00	14.30	13.97	0.025				N	0	1	0		
yes	yes	yes	no	no	70	R2RN	LLHS	LH	LB	TM	RKV	RKV200313	2074	Kahana Village	2020-03-13	9:25	1	1	5	1	3					RKV200313	24.6	35.0	7.03	103.1	8.16	9.76	9.20	9.69	9.55	0.032					0	0	0		
yes	yes	yes	no	no	71	R2RN	LLHS	TS	JS		RHL	RHL200515	2001	Honolua Bay	2020-05-15	8:15	1	1	4	1	1					RHL200515	25.3	33.5	6.23	91.4	8.13	2.13	1.99	1.63	1.92	0.135				N	0	0	0	RHL: large catamaran w/ engine running 30 ft from sampling site	
yes	yes	yes	no	no	71	R2RN	LLHS	TS	JS		RON	RON200515	2004	Oneloa Bay	2020-05-15	8:50	1	1	4	1	1					RON200515	26.2	34.9	6.63	99.7	8.15	0.33	0.35	0.50	0.39	0.236					0	1	0	RON; fisherman nearby	
yes	yes	yes	no	no	71	R2RN	LLHS	TS	JS		RFS	RFS200515	2005	Kapalua Bay	2020-05-15	9:15	1	1	4	1	1					RFS200515	26.9	33.5	6.44	97.4	8.13	1.84	2.02	2.31	2.06	0.115					0	2	0	RKV: construction nearby	
yes	yes	yes	no	no	71	R2RN	LLHS	TS	JS		RKO	RKO200515	2008	Ka'opala Bay	2020-05-15	9:35	1	1	4	1	1					RKO200515	26.4	33.6	6.36	95.2	8.13	11.20	11.00	10.90	11.03	0.014				N	0	0	0		
yes	yes	yes	no	no	71	R2RN	LLHS	TS	JS		RKV	RKV200515	2074	Kahana Village	2020-05-15	9:55	1	1	4	1	1					RKV200515	26.4	34.1	6.45	96.8	8.13	11.00	11.20	12.40	11.53	0.066					0	0	0		
yes	yes	yes	no	no	72	R2RN	LLHS	GS	JS		RHL	RHL200619	2001	Honolua Bay	2020-06-19	8:20	1	1	5	1	3					RHL200619	25.3	35.3	5.88	87.4	8.08	2.15	1.69	1.86	1.90	0.122				N	0	0	0	RHL - Decay smell; vegetation	
yes	yes	yes	no	no	72	R2RN	LLHS	GS	JS		RON	RON200619	2004	Oneloa Bay	2020-06-19	8:45	1	1	5	1	3					RON200619	25.6	36.5	6.89	103.6	8.15	0.42	0.45	0.43	0.43	0.035				N	0	1	0	RON - One dog on beach	
yes	yes	yes	no	no	72	R2RN	LLHS	GS	JS		RFS	RFS200619	2005	Kapalua Bay	2020-06-19	9:12	1	1	5	1	3					RFS200619	25.8	34.7	6.72	100.4	8.05	1.48	1.72	1.72	1.64	0.084				N	0	0	0		
yes	yes	yes	no	no	72	R2RN	LLHS	GS	JS		RKO	RKO200619	2008	Ka'opala Bay	2020-06-19	9:45	1	1	5	1	3					RKO200619	25.9	35.3	6.51	97.5	8.09	6.62	6.22	6.14	6.33	0.041				N	0	0	0		
yes	yes	yes	no	no	72	R2RN	LLHS	GS	JS		RKV	RKV200619	2074	Kahana Village	2020-06-19	10:05	1	1	5	1	3					RKV200619	26.0	35.5	6.21	93.4	8.09	4.80	5.09	4.78	4.89	0.035				N	0	0	0		
yes	yes	yes	no	no	73	R2RN	LLHS	JS			RHL	RHL200710	2001	Honolua Bay	2020-07-10	8:10	1	1	5	1	3					RHL200710	25.9	35.7	6.54	98.5	8.13	1.32	1.03	1.32	1.22	0.137				N	0	1	0	RHL - stream bed completely dry	
yes	yes	no	no	no	73	R2RN	LLHS	JS			RON	RON200710	2004	Oneloa Bay	2020-07-10											RON200710									#DIV/0!	#DIV/0!								RON - Not able to access. Road into Kapalua backed up for about a mile in both directions due to The Ritz giving away food baskets.	
yes	yes	no	no	no	73	R2RN	LLHS	JS			RFS	RFS200710	2005	Kapalua Bay	2020-07-10											RFS200710									#DIV/0!	#DIV/0!								RFS - Not able to access. Lower Rd. closed for construction at Napili Shores.	
yes	yes	yes	no	no	73	R2RN	LLHS	JS			RKO	RKO200710	2008	Ka'opala Bay	2020-07-10	9:10	1	1	5	1	3					RKO200710	25.9	35.9	6.42	96.7	8.08	7.47	8.05	7.81	7.78	0.037				N	0	0	0		
yes	yes	yes	no	no	73	R2RN	LLHS	JS			RKV	RKV200710	2074	Kahana Village	2020-07-10	9:27	1	1	5	1	3					RKV200710	26.1	35.9	5.99	90.5	8.06	7.93	8.25	8.26	8.15	0.023				N	0	0	0		
yes	yes	yes	no	no	74	R2RN	LLHS	JS	GS	LB,LH	RHL	RHL200731	2001	Honolua Bay	2020-07-31	8:00	1	1	5	1	3					RHL200731	25.4	35.7	5.91	88.3	8.10	2.07	1.97	2.43	2.16	0.112				N	0	0	0	RHL - 5th turbidity reading = 2.67	
yes	yes	yes	no	no	74	R2RN	LLHS	JS	GS	LB,LH	RON	RON200731	2004	Oneloa Bay	2020-07-31	8:35	1	1	5	1	3					RON200731	25.8	36.5	6.69	101.1	8.16	0.82	0.79	0.82	0.81	0.021				N	0	0	0	RON - Windy, clear sky 	
yes	yes	yes	no	no	74	R2RN	LLHS	JS	GS	LB,LH	RFS	RFS200731	2005	Kapalua Bay	2020-07-31	8:58	1	1	5	1	3					RFS200731	26.2	35.9	6.34	96.1	8.11	1.22	1.33	1.30	1.28	0.044				N	0	2	0	RFS - Clear sky, high water clarity 	
yes	yes	yes	no	no	74	R2RN	LLHS	JS	GS	LB,LH	RKO	RKO200731	2008	Ka'opala Bay	2020-07-31	9:28	1	1	5	1	3					RKO200731	26.2	35.9	6.27	95.2	8.10	9.65	10.80	10.00	10.15	0.058				N	0	0	0		
yes	yes	yes	no	no	74	R2RN	LLHS	JS	GS	LB,LH	RKV	RKV200731	2074	Kahana Village	2020-07-31	9:45	1	1	5	1	3					RKV200731	26.9	36.0	6.55	100.6	8.09	11.40	11.80	11.90	11.70	0.023				N	1	0	0		
yes	yes	yes	no	no	75	R2RN	LLHS	MB	GS	LH	RHL	RHL200820	2001	Honolua Bay	2020-08-20	7:54	2	NBBF	6	2	2					RHL200820	25.7	33.9	5.86	86.8	8.11	2.28	2.47	2.34	2.36	0.041				N	0	0	0	RHL - smells like sulfur	
yes	yes	yes	no	no	75	R2RN	LLHS	MB	GS	LH	RON	RON200820	2004	Oneloa Bay	2020-08-20	8:29	2	NBBF	6	2	2					RON200820	26.1	34.9	6.46	96.8	8.14	0.78	0.81	0.80	0.80	0.019				N	0	0	0		
yes	yes	yes	no	no	75	R2RN	LLHS	MB	GS	LH	RFS	RFS200820	2005	Kapalua Bay	2020-08-20	8:49	2	NBBF	6	2	2					RFS200820	25.9	31.1	6.56	96.0	8.07	3.09	3.74	2.93	3.25	0.132				N	1	0	0	RFS - 4th turbidity reading = 4.52	
